nombre,codigo_chilemat,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
PIERCE RACK (FIERRO) 2 VIAS CHICO,N0501018,,2660.6,,,unidad,unidad,1.0,0,General,Otros,,,,
CANCAMO DE ANCLAJE CON HILO P/MADERA,N0502008,,761.032,,,unidad,unidad,1.0,0,Ferreteria,Fijaciones,,,,
CONECTOR BRONCE TT 5/8 - ( 1/2 ) P/BC,N0503004,,1258.012,,,unidad,unidad,1.0,0,General,Otros,,,,
"ABRAZ. 2 PT E.G. 2 PATAS TUBO 5/8""""""",N0521001,,50.2,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
CAJA PLASTICA RECTANGULAR 12-S,N0907002,,226.904,,,unidad,unidad,1.0,0,General,Otros,,,,
CALOTA 1CC ESPECIAL NEGRA CS01,N0907072,,1535.116,,,unidad,unidad,1.0,0,Construccion,Materiales,,,,
CALOTA 1CC DIN BLANCA CS11,N0907073,,1535.116,,,unidad,unidad,1.0,0,Construccion,Materiales,,,,
PORTALAMPARA BLANCO,N0907077,,754.004,,,unidad,unidad,1.0,0,General,Otros,,,,
CS521 CAJA CUADRADA S/P 65X65X35MM MEC,N0907083,,422.01132,,,unidad,unidad,1.0,0,General,Otros,,,,
SOLDADURA EN BARRA ESTAÑO 50 %,N0917008,,4358.364,,,unidad,unidad,1.0,0,General,Otros,,,,
TUBO CONDUIT 20X3 MTS 4422 FUERTE CEM,N0923010,,1761.016,,,tira,tira,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
TUBO CONDUIT 16X3 MTS 4422 FUERTE CEM,N0923093,,1174.68,,,tira,tira,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
ABRAZADERA CONDUIT PVC 2 PATAS 16MM,N0923509,,48.192,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
ABRAZADERA CONDUIT PVC 2 PATAS 20MM,N0923510,,71.284,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
CONDUIT DUFLEX NARANJA 16MM ( 25 MTS.),N0926004,,8534.0,,,rll,rll,1.0,0,General,Otros,,,,
TAPA CIEGA PVC RECTANGULAR ALFAPLAS,N0926062,,80.32,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
"CURVA PVC 5/8"" (16MM) 90 G. CEM.",N0933001,,157.628,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
"CURVA PVC 1/2"" (20MM) 90 G. CEM.",N0933002,,196.784,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
"CURVA PVC 3/4"" (25MM) 90 G. CEM.",N0933003,,235.94,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
"SALIDA CAJA PVC 5/8"" (16MM) CONDUIT""",N0933038,,49.196,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
"SALIDA CAJA PVC 1/2"" (20MM) CONDUIT",N0933039,,72.288,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
CAMARA REGISTRO CONDUIT PVC 110MMX20,N0933072,,2847.344,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,,
2015 CAJA DISTR 5/8 TA LISA GRIS C/OREJA MET,N0933094,,325.296,,,unidad,unidad,1.0,0,General,Otros,,,,
"NAPOLEON PROFESIONAL 42"" UYU",NAP142,,61753.11835999999,,,un,un,1.0,0,General,Otros,,,,
"NIVEL CON IMAN 10"" UYUSTOOLS",NII010,,3533.74868,,,un,un,1.0,0,General,Otros,,,,
"NIVEL CON IMAN 16"" UYUSTOOLS",NII016,,4453.77412,,,un,un,1.0,0,General,Otros,,,,
"NIVEL CON IMAN 18"" UYUSTOOLS",NII018,,5088.041080000001,,,un,un,1.0,0,General,Otros,,,,
"NIVEL CON IMAN 24"" UYUSTOOLS",NII024,,4366.65704,,,un,un,1.0,0,General,Otros,,,,
"NIVEL CON IMAN 40"" UYUSTOOLS",NII040,,8831.184,,,unidad,unidad,1.0,0,General,Otros,,,,
"NIVEL CON IMAN 60"" UYUSTOOLS",NII060,,8517.24324,,,un,un,1.0,0,General,Otros,,,,
