nombre,codigo_chilemat,codigo_interno,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
Corte MDF Natural 9 mm 30x30 cm,SOD-110289447,CHM-SOD-110289447,PEND-SOD-110289447,1490,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Tapacanto pvc cumbre 22x0,45mm ro 25mt",SOD-145688609,CHM-SOD-145688609,PEND-SOD-145688609,9790,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Roble santana 18 mm 183x250 cm,SOD-110331479,CHM-SOD-110331479,PEND-SOD-110331479,69890,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Sahara 18 mm 183x250 cm,SOD-110325619,CHM-SOD-110325619,PEND-SOD-110325619,69890,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Carvalo 15 mm 183x250 cm,SOD-110279371,CHM-SOD-110279371,PEND-SOD-110279371,62090,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Nogal amazonico 18 mm 183x250 cm,SOD-110314230,CHM-SOD-110314230,PEND-SOD-110314230,69890,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Lino 18 mm 183x250 cm,SOD-110290811,CHM-SOD-110290811,PEND-SOD-110290811,67990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Corte MDF Natural 5.5 mm 35x40 cm,SOD-110283665,CHM-SOD-110283665,PEND-SOD-110283665,1790,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Repisa Melamina 15 mm 20x70 cm,SOD-122782638,CHM-SOD-122782638,PEND-SOD-122782638,5890,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Repisa Melamina 15 mm 20x120 cm,SOD-122782650,CHM-SOD-122782650,PEND-SOD-122782650,11190,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Santorini 18 mm 183x250 cm,SOD-110299874,CHM-SOD-110299874,PEND-SOD-110299874,69890,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Tapacanto pvc sierra 22x0,45mm ro 25mt",SOD-145688601,CHM-SOD-145688601,PEND-SOD-145688601,9790,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Tapacanto pvc azul pacifico 22x0,45mm ro 300mt",SOD-145690262,CHM-SOD-145690262,PEND-SOD-145690262,110390,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Carvalo 18 mm 183x250 cm,SOD-110314506,CHM-SOD-110314506,PEND-SOD-110314506,67990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Repisa Melamina 15 mm 20x100 cm,SOD-122782636,CHM-SOD-122782636,PEND-SOD-122782636,10190,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Repisa Melamina 15 mm 20x90 cm,SOD-122782664,CHM-SOD-122782664,PEND-SOD-122782664,7190,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Corte MDF Natural 5.5 mm 40x40 cm,SOD-110317922,CHM-SOD-110317922,PEND-SOD-110317922,2590,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Repisa Melamina 15 mm 20x60 cm,SOD-122782672,CHM-SOD-122782672,PEND-SOD-122782672,6490,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Certificado Seco Cepillado 1x2 3,2 m",SOD-110327420,CHM-SOD-110327420,PEND-SOD-110327420,1480,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
"Pino Tapa Canteada Dimensionado Verde 1x4 3,2 m",SOD-110293511,CHM-SOD-110293511,PEND-SOD-110293511,1290,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
