nombre,codigo_chilemat,codigo_interno,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
YESO 1 KILO (25 UNIDADES),580-1,CHM-580-1,PEND-580-1,341.36,,,1 kilo,1 kilo,1.0,0,Construccion,Materiales,,,
CADENA ROLLO 3/8 .058 H42 73VL,581 6266-01,CHM-581-6266-01,PEND-581-6266-01,417840.46304,,,unidad,unidad,1.0,0,General,Otros,,,
CADENA ROLLO .325 .050 H30 95VP (SP33G),581 6431-01,CHM-581-6431-01,PEND-581-6431-01,493084.48,,,unidad,unidad,1.0,0,General,Otros,,,
PINZA TOMA TIERRA 500A,583050,CHM-583050,PEND-583050,3435.47716,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,
ESPADA 15 3/8/1.5/SN/GRANDE/H42,585 9508-56,CHM-585-9508-56,PEND-585-9508-56,37576.18592,,,unidad,unidad,1.0,0,General,Otros,,,
ACEITE MEZCLA HUSQVARNA HP 1OO CC. (CAJA 50 UDS),587 8085-01,CHM-587-8085-01,PEND-587-8085-01,2510.0,,,unidad,unidad,1.0,0,General,Otros,,,
CAL PINTA CAL 1 KILO,590-1,CHM-590-1,PEND-590-1,482.924,,,kilo,kilo,1.0,0,Construccion,Materiales,,,
ETERFLEX 2500 QUADRA AZUL,5902210030,CHM-5902210030,PEND-5902210030,1757.0,,,m2,m2,1.0,0,General,Otros,,,
ETERFLEX 2700 PARQUET ARCE,5902210402,CHM-5902210402,PEND-5902210402,4425.632,,,m2,m2,1.0,0,General,Otros,,,
ETERFLEX 2500 GEOMETRICO GRIS,5902551309,CHM-5902551309,PEND-5902551309,1757.0,,,m2,m2,1.0,0,General,Otros,,,
ETERFLEX 2700 MADERA CEDRO,5902736147,CHM-5902736147,PEND-5902736147,4425.632,,,M2,M2,1.0,0,General,Otros,,,
"VIENA 8,3 MM ROBLE OSCURO 3",5931028305,CHM-5931028305,PEND-5931028305,10048.032,,,M2,M2,1.0,0,General,Otros,,,
SALIDA DE LAVADORA DE 150 CM,595,CHM-595,PEND-595,2730.88,,,unidad,unidad,1.0,0,General,Otros,,,
"LIMAS REDONDAS, 5.5MM - 7/32 - 12 UNIDADES",597 3561-02,CHM-597-3561-02,PEND-597-3561-02,15538.908,,,unidad,unidad,1.0,0,General,Otros,,,
BROCA PLANA P/MADERA W-MAX 19MM ( 1 UNIDAD),5986000044,CHM-5986000044,PEND-5986000044,1259.016,,,unidad,unidad,1.0,0,General,Otros,,,
BROCA PLANA P/MADERA W-MAX 32MM ( 1 UNIDAD),5986000052,CHM-5986000052,PEND-5986000052,1838.324,,,unidad,unidad,1.0,0,General,Otros,,,
DESENGRIPANTE W-MAX 300ML,598611330071012,CHM-598611330071012,PEND-598611330071012,1948.764,,,unidad,unidad,1.0,0,General,Otros,,,
DISCO DE CORTE W-MAX 115X1.0X22.23 ( CAJA 25 UNIDADES),5986115101CL01,CHM-5986115101CL01,PEND-5986115101CL01,200.8,,,CAJA,CAJA,1.0,0,Herramientas,Discos y Corte,,,
